Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,0.7,0.92,0.7,0.92,0.23,+33.33%,56,22251,26.15%,-0.2705833062,0.065899886310784,-0.0037749289,0.064281142306021,-0.0357647921,0.92000326011674,27.14,25,0.7,1.39
2026-03-12,0.64,0.69,0.64,0.69,0.04,+6.15%,3997,18424,25.57%,-0.2487233212,0.063457944591376,-0.003559307,0.0625582026718,-0.0337488739,0.81500403789174,27.43,25,0.71,0.92
2026-03-11,0.89,0.89,0.63,0.65,0.05,+8.33%,6057,12368,24.25%,-0.2163349884,0.060868747246517,-0.0031642908,0.058836248173744,-0.0298110319,0.65000547696623,27.81,25,0.64,0.7
2026-03-10,0.65,0.65,0.57,0.6,0.02,+3.45%,10080,2343,23.16%,-0.2113065712,0.062833159252085,-0.002948673,0.058082748713998,-0.0291090096,0.6000042903496,27.76,25,0.57,0.92
2026-03-09,0.58,0.58,0.58,0.58,-0.02,-3.33%,20,2343,22.73%,-0.2087573046,0.063436305924585,-0.002856472,0.057798950345095,-0.0288598232,0.58000338235116,27.75,25,0.39,0.86
2026-03-06,0.6,0.6,0.6,0.6,0,0.00%,1,2343,23.66%,-0.2050528807,0.05950862818173,-0.0029770904,0.057912499973893,-0.0290596495,0.60000287396746,27.95,25,0.31,0.92
2026-03-05,0.6,0.6,0.6,0.6,0.1,+20.00%,125,2462,23.74%,-0.2033730442,0.058627693601237,-0.0029621834,0.058027555047234,-0.0291935537,0.600004412838,28,25,0.04,0.78
2026-03-04,0.5,0.5,0.5,0.5,-0.1,-16.67%,1,2462,21.76%,-0.1899288063,0.061339472239341,-0.0025668992,0.055712307061322,-0.0271681551,0.49999999999857,27.95,25,0.5,0.79
2026-03-03,0.55,0.6,0.55,0.6,0.08,+15.38%,19,2480,24.33%,-0.197285925,0.055476139361702,-0.0030020812,0.057673436265843,-0.0288960863,0.60000515969259,28.2,25,0.36,0.88
2026-03-02,0.48,0.54,0.48,0.52,0,0.00%,817,1663,23.85%,-0.1776384256,0.052313716191974,-0.0027896644,0.054763084089098,-0.0264227491,0.52000402746283,28.5,25,0.4,0.7
2026-02-27,0.37,0.52,0.33,0.52,0,0.00%,1233,479,22.67%,-0.1863899405,0.057134536432175,-0.0026539936,0.056059223778273,-0.0275376649,0.52000290495518,28.17,25,0.38,0.58
2026-02-26,0.52,0.52,0.52,0.52,0,0.00%,0,479,24.33%,-0.1678753924,0.048460101966692,-0.0027576809,0.053909574302388,-0.0258149014,0.50500330833249,28.8,25,0.27,0.74
2026-02-25,0.52,0.52,0.52,0.52,0,0.00%,0,479,25.50%,-0.1726470365,0.04675251619803,-0.0029593547,0.055237346459203,-0.0270674733,0.55499999999847,28.9,25,0.19,0.92
2026-02-24,0.6,0.6,0.6,0.6,0,0.00%,10,479,27.04%,-0.1728701991,0.04361806660449,-0.0031822821,0.055917790348299,-0.0277914422,0.60000290189368,29.15,25,0.48,0.92
2026-02-23,0.6,0.6,0.6,0.6,0,0.00%,0,479,29.41%,-0.1989487398,0.04401499367714,-0.0037508479,0.060657743678302,-0.0320217591,0.78500472638206,28.92,25,0.65,0.92
2026-02-20,0.8,0.8,0.8,0.8,-0.12,-13.04%,1,480,28.97%,-0.2047158863,0.045543440864015,-0.0037045845,0.061612157794171,-0.0328191579,0.80000312565103,28.75,25,0.53,1.3
2026-02-19,0.92,0.92,0.92,0.92,0,0.00%,2,478,30.01%,-0.221374029,0.046168738798628,-0.0039632425,0.06430152276098,-0.0357016351,0.92000374034722,28.53,25,0.3,0.98
2026-02-18,0.92,0.92,0.92,0.92,0,0.00%,0,478,27.03%,-0.191438766,0.046490831184967,-0.0032792658,0.059671002123864,-0.0309564086,0.68500485765363,28.79,25,0.45,0.92
2026-02-17,0.7,0.7,0.7,0.7,-0.16,-18.60%,152,334,27.09%,-0.1940784045,0.046724415059997,-0.0032995947,0.060230979677854,-0.0315040647,0.70000288720836,28.75,25,0.29,0.83
2026-02-13,0.86,0.86,0.86,0.86,0.06,+7.50%,2,333,26.91%,-0.2318944647,0.053332425550845,-0.0034654782,0.065509060976568,-0.0369854657,0.86000465732919,27.99,25,0.7,0.92
2026-02-12,0.85,0.85,0.8,0.8,-0.06,-6.98%,21,336,26.30%,-0.2222342486,0.052795898569872,-0.0033014691,0.064526907167834,-0.0358719154,0.80000525408357,28.11,25,0.7,1.04
2026-02-11,0.86,0.86,0.86,0.86,0,0.00%,2,334,26.75%,-0.2317080773,0.053259474480803,-0.0034123966,0.065933158459496,-0.0374753559,0.86000467332875,27.99,25,0.7,1.05
2026-02-10,0.86,0.86,0.86,0.86,0,0.00%,0,334,27.37%,-0.2457375755,0.054021422878389,-0.0035668176,0.067784230251264,-0.0397675117,0.95000663095983,27.8,25,0.7,1.2
2026-02-09,0.86,0.86,0.86,0.86,0,0.00%,0,334,25.47%,-0.2699327766,0.062264603610506,-0.0033351835,0.069776840875869,-0.0422044849,0.97500396740671,27.21,25,0.75,1.2
2026-02-06,0.86,0.86,0.86,0.86,0,0.00%,0,334,25.58%,-0.2618267292,0.060416662770368,-0.0033127418,0.069394487994638,-0.041584813,0.95000422672173,27.36,25,0.7,1.2
2026-02-05,1.1,1.18,1.1,1.18,0.07,+6.31%,19,320,26.35%,-0.3037875947,0.064297216983658,-0.0035291379,0.073135041287221,-0.0469675854,1.1800057948408,26.76,25,0.84,1.2
2026-02-04,1.11,1.11,1.11,1.11,0.01,+0.91%,4,320,26.44%,-0.2869536073,0.061587883567598,-0.0034950822,0.072168286300537,-0.045444263,1.1099999999997,27.03,25,1.01,1.2
2026-02-03,1.1,1.1,1.1,1.1,0.12,+12.24%,1,319,26.88%,-0.2792619422,0.059247100941082,-0.0035360643,0.071862769938225,-0.0451719476,1.1000035953251,27.19,25,0.9,1.2
2026-02-02,1,1,0.98,0.98,0.03,+3.16%,21,339,26.39%,-0.2576974387,0.057111069178214,-0.0033807255,0.070000034812001,-0.0423044453,0.98000591880924,27.52,25,0.7,1.1
2026-01-30,0.95,0.95,0.95,0.95,0.09,+10.47%,2,337,25.94%,-0.2543594429,0.057412160683231,-0.0032783171,0.069880066166536,-0.0420950795,0.95000646749122,27.54,25,0.89,1.21
2026-01-29,0.81,0.86,0.81,0.86,0,0.00%,4,333,24.77%,-0.2441664449,0.058466074725882,-0.0030391681,0.06882055490736,-0.0406649887,0.86000422421461,27.6,25,0,1.07
2026-01-28,0.86,0.86,0.86,0.86,0,0.00%,0,333,25.30%,-0.2262881466,0.053939696264651,-0.0030402945,0.067087743922821,-0.0388278832,0.81000482854237,27.98,25,0,0.81
2026-01-27,0.7,0.72,0.7,0.72,-0.04,-5.26%,21,312,24.19%,-0.2139406066,0.054324821955979,-0.0028079727,0.06530883706467,-0.036825548,0.72000633337308,28.07,25,0.36,0.87
2026-01-26,0.76,0.76,0.76,0.76,0,0.00%,2,310,25.31%,-0.2132080111,0.051374447374851,-0.0029666734,0.065711764057112,-0.0372671961,0.76000454450001,28.24,25,0,0.81
2026-01-23,0.76,0.76,0.76,0.76,0,0.00%,0,310,23.77%,-0.1850183436,0.049385248245075,-0.0025749788,0.06132482404071,-0.0329401179,0.60000413381497,28.58,25,0.44,0.76
2026-01-22,0.7,0.7,0.7,0.7,0,0.00%,10,320,24.60%,-0.20303916,0.050724138439927,-0.0027817382,0.064658006147951,-0.0361889003,0.7000039315244,28.36,25,0.54,0.8
2026-01-21,0.7,0.7,0.7,0.7,0,0.00%,0,320,24.53%,-0.1943567738,0.049121299849501,-0.0027196329,0.063483475789723,-0.0349973898,0.66500481955216,28.53,25,0.57,0.76
2026-01-20,0.7,0.7,0.7,0.7,0,0.00%,0,320,23.36%,-0.2003428704,0.053009095839736,-0.0025753696,0.064136086843592,-0.0356708833,0.65000298100568,28.24,25,0.34,0.96
