Date,Imp Vol,1D IV Chg,IV Rank,IV Pctl,P/C Vol,Options Vol,P/C OI,Total OI,Last,Call Volume,Put Volume,Call OI,Put OI,WBD,PSKY,NFLX,VIX,WBD_Log_Ret,Realized_Vol,VRP,Arb_Spread,Implied_Deal_Prob,NFLX_Ret,PSKY_Ret,PSKY_NFLX_Beta,NFLX_Log_Ret,PSKY_Log_Ret,Pair_Spread,Spread_ZScore
2025-08-14,40.9,-0.73%,13.19%,10%,0.40817060021565,23508,0.61470430670328,1048899,11.78,16694,6814,649592,399307,11.779999732971191,14.380000114440918,123.05599975585938,14.829999923706056,,,,19.22000026702881,0.0,,,1.0,,,,
2025-08-15,41.89,+0.99%,15.21%,16%,0.61248382525109,26169,0.62005083457799,1051042,11.85,16229,9940,648771,402271,11.850000381469728,13.720000267028809,123.8949966430664,15.09000015258789,0.005924744217217957,,,19.149999618530273,0.36420732323620425,0.006818008783574747,-0.045897068300389865,1.0,0.006794871269998873,-0.046983718490759656,0.05377858976075853,
2025-08-18,41.82,-0.06%,15.09%,16%,0.76220034246575,16466,0.58123991779186,958652,11.82,9344,7122,606266,352386,11.81999969482422,13.5,124.50900268554688,14.989999771118164,-0.002534913613320014,,,19.18000030517578,0.2081163438985355,0.004955858259953594,-0.016035004573396572,1.0,0.0049436184170346936,-0.016164956316096404,0.021108574733131096,
2025-08-19,41.79,-0.03%,15.02%,16%,0.63924211597152,12891,0.58677901491343,967383,11.56,7864,5027,609652,357731,11.5600004196167,13.479999542236328,121.41500091552734,15.56999969482422,-0.02224208661610471,,,19.4399995803833,0.0,-0.02484962294520643,-0.0014815153899015998,1.0,-0.02516358700024584,-0.001482613918952713,-0.023680973081293126,
2025-08-20,42.69,+0.90%,16.86%,23%,0.87498663816141,35081,0.58828120407803,972746,11.54,18710,16371,612452,360294,11.539999961853027,13.979999542236328,121.38600158691406,15.6899995803833,-0.0017316417689299127,,,19.460000038146973,0.0,-0.00023884469295076816,0.03709198939016067,1.0,-0.00023887322088703142,0.036420632536050136,-0.03665950575693717,
2025-08-21,41.85,-0.84%,15.14%,16%,0.30164412622647,9817,0.5700977475835,981757,11.585,7542,2275,625284,356473,11.59000015258789,16.030000686645508,120.62100219726562,16.600000381469727,0.004323412742814991,,,19.40999984741211,0.0,-0.006302204369922237,0.14663814102537875,1.0,-0.0063221470927787874,0.13683430539500818,-0.14315645248778697,
2025-08-22,40.68,-1.17%,12.75%,10%,0.29104966879931,57107,0.57003744122367,983338,12.05,44233,12874,626315,357023,12.050000190734863,16.0,120.46499633789062,14.220000267028809,0.03892200524814485,,,18.949999809265137,1.4047890427288263,-0.0012933556887536612,-0.0018715337093216933,1.0,-0.001294192795084481,-0.0018732872167079367,0.0005790944216234556,
2025-08-25,40.99,+0.31%,13.38%,11%,0.47115289460663,14866,0.57073045431629,984515,12.04,10105,4761,626788,357727,12.039999961853027,15.960000038146973,121.80699920654295,14.789999961853027,-0.0008302390529614839,,,18.960000038146973,1.3527587162829369,0.011140189345028917,-0.002499997615814209,1.0,0.011078594465947436,-0.0025031278279573394,0.013581722293904775,
2025-08-26,40.28,-0.71%,11.92%,8%,0.65492505353319,15457,0.57088697325283,992788,11.8,9340,6117,631992,360796,11.800000190734863,15.84000015258789,122.60900115966795,14.619999885559082,-0.020134889076731378,,,19.199999809265137,0.10406065289177917,0.006584202536383588,-0.007518789804026538,1.0,0.006562621352990151,-0.007547198392470282,0.014109819745460432,
2025-08-27,40.03,-0.24%,11.43%,8%,0.11981031646182,23142,0.5752054993587,997250,12.15,20666,2476,633092,364158,12.149999618530272,14.8100004196167,122.3499984741211,14.850000381469728,0.029229590754281186,,,18.850000381469727,1.9250774215326167,-0.002112427987318588,-0.06502523504098034,1.0,-0.0021146623104383844,-0.06723573940631115,0.06512107709587277,
2025-08-28,40.09,+0.06%,11.54%,8%,0.049424797613975,22167,0.57336130953784,1001059,12.055,21123,1044,636255,364804,12.0600004196167,14.6899995803833,123.1449966430664,14.43000030517578,-0.007434912296744958,,,18.9399995803833,1.456819369174716,0.006497737465141595,-0.008102689792935491,1.0,0.006476718171825952,-0.00813569499204254,0.014612413163868493,
2025-08-29,40.25,+0.16%,11.87%,9%,0.17514286626441,36809,0.56579271647899,1010179,11.64,31323,5486,645155,365024,11.640000343322754,14.699999809265137,120.8249969482422,15.359999656677246,-0.03544675429475337,,,19.359999656677246,0.0,-0.018839577393052198,0.0006807507942472313,1.0,-0.019019303115602116,0.0006805191885298538,-0.01969982230413197,
