Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-14 00:00:00-04:00,90.14600372314453,91.96299743652344,90.0999984741211,91.80000305175781,52007000,0.0,0.0
2025-03-17 00:00:00-04:00,93.99500274658203,96.76300048828125,93.44200134277344,95.00199890136719,75431000,0.0,0.0
2025-03-18 00:00:00-04:00,94.0,94.82499694824219,91.62999725341797,92.99800109863281,60094000,0.0,0.0
2025-03-19 00:00:00-04:00,93.5770034790039,96.80000305175781,92.4000015258789,95.9489974975586,66624000,0.0,0.0
2025-03-20 00:00:00-04:00,95.0009994506836,96.69999694824219,94.55000305175781,95.08399963378906,44663000,0.0,0.0
2025-03-21 00:00:00-04:00,94.16400146484375,96.36499786376953,94.09500122070312,96.02899932861328,59054000,0.0,0.0
2025-03-24 00:00:00-04:00,96.96700286865234,97.69999694824219,95.15499877929688,97.1989974975586,46779000,0.0,0.0
2025-03-25 00:00:00-04:00,97.81800079345703,99.87000274658203,97.71099853515625,99.72799682617188,37822000,0.0,0.0
2025-03-26 00:00:00-04:00,99.38099670410156,99.67900085449219,96.63200378417969,97.06500244140625,35274000,0.0,0.0
2025-03-27 00:00:00-04:00,97.4219970703125,98.9000015258789,96.63700103759766,97.6719970703125,30472000,0.0,0.0
2025-03-28 00:00:00-04:00,97.19999694824219,97.49800109863281,92.9229965209961,93.38500213623047,44227000,0.0,0.0
2025-03-31 00:00:00-04:00,92.0530014038086,93.447998046875,90.05899810791016,93.25299835205078,46341000,0.0,0.0
2025-04-01 00:00:00-04:00,92.75,93.22899627685547,91.1500015258789,92.83799743652344,35200000,0.0,0.0
2025-04-02 00:00:00-04:00,92.30000305175781,94.95500183105469,91.61100006103516,93.552001953125,32569000,0.0,0.0
2025-04-03 00:00:00-04:00,90.18000030517578,94.65899658203125,90.0469970703125,91.70500183105469,58646000,0.0,0.0
2025-04-04 00:00:00-04:00,89.6500015258789,90.66300201416016,85.38700103759766,85.58599853515625,67988000,0.0,0.0
2025-04-07 00:00:00-04:00,82.78500366210938,90.67400360107422,82.11000061035156,86.78299713134766,66568000,0.0,0.0
2025-04-08 00:00:00-04:00,91.24400329589844,92.24199676513672,85.7699966430664,87.04000091552734,56254000,0.0,0.0
2025-04-09 00:00:00-04:00,85.59300231933594,95.14299774169922,85.44000244140625,94.5469970703125,74980000,0.0,0.0
2025-04-10 00:00:00-04:00,93.19400024414062,94.1240005493164,89.4000015258789,92.11699676513672,51298000,0.0,0.0
2025-04-11 00:00:00-04:00,92.0,94.48600006103516,90.66799926757812,91.8290023803711,40736000,0.0,0.0
2025-04-14 00:00:00-04:00,93.2699966430664,94.89800262451172,91.94999694824219,93.12799835205078,40359000,0.0,0.0
2025-04-15 00:00:00-04:00,95.0,99.34500122070312,94.80000305175781,97.62799835205078,77120000,0.0,0.0
2025-04-16 00:00:00-04:00,97.62799835205078,98.12100219726562,94.91699981689453,96.16300201416016,60661000,0.0,0.0
2025-04-17 00:00:00-04:00,96.9000015258789,98.47000122070312,95.5999984741211,97.3030014038086,88937000,0.0,0.0
2025-04-21 00:00:00-04:00,98.44000244140625,101.9000015258789,97.30500030517578,98.79100036621094,97757000,0.0,0.0
2025-04-22 00:00:00-04:00,100.52999877929688,106.49700164794922,100.4520034790039,104.03399658203125,93689000,0.0,0.0
2025-04-23 00:00:00-04:00,104.72200012207031,106.125,103.19999694824219,104.95899963378906,64719000,0.0,0.0
2025-04-24 00:00:00-04:00,104.80000305175781,110.0999984741211,104.7020034790039,109.68699645996094,63819000,0.0,0.0
2025-04-25 00:00:00-04:00,109.7040023803711,110.68000030517578,109.0999984741211,110.15299987792969,39500000,0.0,0.0
2025-04-28 00:00:00-04:00,110.0,111.4000015258789,108.26200103759766,111.03800201416016,38311000,0.0,0.0
2025-04-29 00:00:00-04:00,110.39199829101562,112.78099822998047,109.5479965209961,112.56400299072266,37773000,0.0,0.0
2025-04-30 00:00:00-04:00,111.26499938964844,113.31999969482422,110.11100006103516,113.1719970703125,42667000,0.0,0.0
2025-05-01 00:00:00-04:00,112.25199890136719,114.24199676513672,111.18299865722656,113.34700012207031,34995000,0.0,0.0
2025-05-02 00:00:00-04:00,113.66600036621094,115.94400024414062,113.33200073242188,115.64900207519531,37743000,0.0,0.0
2025-05-05 00:00:00-04:00,111.4800033569336,114.4020004272461,110.70099639892578,113.40599822998047,56623000,0.0,0.0
2025-05-06 00:00:00-04:00,112.94300079345703,114.76599884033203,112.63999938964844,113.76899719238281,32567000,0.0,0.0
2025-05-07 00:00:00-04:00,113.91799926757812,116.4000015258789,113.80000305175781,115.54100036621094,43497000,0.0,0.0
2025-05-08 00:00:00-04:00,116.16200256347656,116.22899627685547,113.91999816894531,114.44300079345703,37609000,0.0,0.0
2025-05-09 00:00:00-04:00,114.70999908447266,115.0999984741211,113.3219985961914,114.02200317382812,25696000,0.0,0.0
2025-05-12 00:00:00-04:00,112.4260025024414,113.0,110.29299926757812,111.0,64791000,0.0,0.0
2025-05-13 00:00:00-04:00,111.44599914550781,114.78800201416016,110.62999725341797,113.84400177001953,39979000,0.0,0.0
2025-05-14 00:00:00-04:00,112.95999908447266,115.29000091552734,112.83999633789062,115.0989990234375,39101000,0.0,0.0
2025-05-15 00:00:00-04:00,114.77400207519531,118.77999877929688,114.76499938964844,117.7979965209961,44640000,0.0,0.0
2025-05-16 00:00:00-04:00,119.31400299072266,119.6500015258789,117.93900299072266,119.15299987792969,46984000,0.0,0.0
2025-05-19 00:00:00-04:00,117.35800170898438,119.16400146484375,117.1709976196289,119.16400146484375,28534000,0.0,0.0
2025-05-20 00:00:00-04:00,118.67900085449219,119.30000305175781,117.9020004272461,119.2020034790039,21331000,0.0,0.0
2025-05-21 00:00:00-04:00,118.6500015258789,121.12200164794922,118.6500015258789,119.46299743652344,29766000,0.0,0.0
2025-05-22 00:00:00-04:00,119.23999786376953,119.875,118.72100067138672,118.7969970703125,18616000,0.0,0.0
2025-05-23 00:00:00-04:00,118.4000015258789,119.1449966430664,117.94400024414062,118.53900146484375,21865000,0.0,0.0
2025-05-27 00:00:00-04:00,119.53299713134766,121.177001953125,119.30899810791016,121.15699768066406,29205000,0.0,0.0
2025-05-28 00:00:00-04:00,121.0270004272461,121.59100341796875,120.60199737548828,120.8550033569336,18559000,0.0,0.0
2025-05-29 00:00:00-04:00,120.80000305175781,120.9000015258789,117.62799835205078,118.48600006103516,33007000,0.0,0.0
2025-05-30 00:00:00-04:00,119.83300018310547,121.18099975585938,118.09300231933594,120.7229995727539,46968000,0.0,0.0
2025-06-02 00:00:00-04:00,120.12000274658203,121.94000244140625,119.625,121.89800262451172,22942000,0.0,0.0
2025-06-03 00:00:00-04:00,121.98699951171875,122.95700073242188,121.11799621582031,121.79399871826172,23638000,0.0,0.0
2025-06-04 00:00:00-04:00,122.072998046875,124.25599670410156,121.98799896240234,123.96600341796875,23594000,0.0,0.0
2025-06-05 00:00:00-04:00,124.05999755859375,126.28099822998047,123.72899627685547,125.052001953125,28172000,0.0,0.0
2025-06-06 00:00:00-04:00,125.94100189208984,126.0,123.55500030517578,124.14700317382812,25570000,0.0,0.0
2025-06-09 00:00:00-04:00,123.88800048828125,123.88800048828125,122.15699768066406,122.44599914550781,24031000,0.0,0.0
2025-06-10 00:00:00-04:00,122.75199890136719,122.75199890136719,118.06099700927734,120.36199951171875,44544000,0.0,0.0
2025-06-11 00:00:00-04:00,120.26000213623047,122.8290023803711,119.60099792480469,121.98799896240234,23823000,0.0,0.0
2025-06-12 00:00:00-04:00,122.25900268554688,123.0,121.19599914550781,121.50299835205078,20846000,0.0,0.0
2025-06-13 00:00:00-04:00,120.65899658203125,122.06199645996094,120.18900299072266,121.21499633789062,22103000,0.0,0.0
2025-06-16 00:00:00-04:00,121.22000122070312,122.625,121.22000122070312,122.53500366210938,21128000,0.0,0.0
2025-06-17 00:00:00-04:00,121.99500274658203,123.23600006103516,121.60900115966797,122.06700134277344,18921000,0.0,0.0
2025-06-18 00:00:00-04:00,122.9990005493164,124.19999694824219,122.05000305175781,122.22899627685547,22810000,0.0,0.0
2025-06-20 00:00:00-04:00,123.44499969482422,124.8499984741211,122.43499755859375,123.14099884033203,53482000,0.0,0.0
2025-06-23 00:00:00-04:00,123.8030014038086,125.48400115966797,121.5009994506836,125.35399627685547,26673000,0.0,0.0
2025-06-24 00:00:00-04:00,126.05500030517578,128.2570037841797,125.5,127.91100311279297,26633000,0.0,0.0
2025-06-25 00:00:00-04:00,128.6840057373047,129.8000030517578,127.38099670410156,127.5250015258789,21465000,0.0,0.0
2025-06-26 00:00:00-04:00,128.0,130.73399353027344,128.0,130.66700744628906,26059000,0.0,0.0
2025-06-27 00:00:00-04:00,130.68800354003906,133.13499450683594,130.10000610351562,132.31199645996094,40709000,0.0,0.0
2025-06-30 00:00:00-04:00,133.10000610351562,134.11500549316406,132.12100219726562,133.91299438476562,32829000,0.0,0.0
2025-07-01 00:00:00-04:00,133.822998046875,133.8769989013672,128.2220001220703,129.36000061035156,49936000,0.0,0.0
2025-07-02 00:00:00-04:00,129.6959991455078,129.9949951171875,127.15899658203125,128.48599243164062,30488000,0.0,0.0
2025-07-03 00:00:00-04:00,129.1999969482422,130.2259979248047,127.97599792480469,129.71800231933594,20062000,0.0,0.0
2025-07-07 00:00:00-04:00,129.5,129.5,127.60199737548828,128.96200561523438,22737000,0.0,0.0
2025-07-08 00:00:00-04:00,129.08999633789062,129.3249969482422,126.0,127.53099822998047,32925000,0.0,0.0
2025-07-09 00:00:00-04:00,127.39900207519531,128.82899475097656,126.6240005493164,128.8280029296875,23845000,0.0,0.0
2025-07-10 00:00:00-04:00,128.5500030517578,128.9600067138672,124.60099792480469,125.05899810791016,42308000,0.0,0.0
