Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,0,0,0,0,0,0.00%,0,7986,31.91%,0.93699051972898,0.019910100180074,-0.0038237928,0.024109056545913,0.091320839959863,7.6999999999872,27.14,20,5.85,9.55
2026-03-12,8.1,8.1,8.1,8.1,0,0.00%,1,7986,36.47%,0.91994106775297,0.02060747356376,-0.0045435214,0.029440287966485,0.089190367327951,8.1000022325557,27.43,20,7.55,9.55
2026-03-11,8.1,8.1,8.1,8.1,0,0.00%,0,7986,0.00%,0,0,0,0,0,0,27.81,20,6.3,9.55
2026-03-10,8.1,8.1,8.1,8.1,0,0.00%,0,7986,0.00%,0,0,0,0,0,0,27.76,20,6.3,9.55
2026-03-09,8.45,8.5,8.34,8.34,-0.06,-0.71%,18,7991,33.90%,0.93702599850728,0.01807960045596,-0.003963895,0.024965632906597,0.093392808409121,8.3400022047937,27.75,20,8.05,8.7
2026-03-06,8.4,8.4,8.4,8.4,-0.12,-1.41%,65,7991,27.15%,0.9701051449569,0.012224654457808,-0.0028110223,0.013862432372301,0.099979941221306,8.3999999999989,27.95,20,8,9.1
2026-03-05,8.5,8.52,8.5,8.52,-0.08,-0.93%,40,7993,31.02%,0.95311349538552,0.015350109392193,-0.0033785112,0.020154744621658,0.098052088248757,8.5200012264944,28,20,8.2,8.85
2026-03-04,8.7,8.7,8.6,8.6,-0.2,-2.27%,438,7593,36.11%,0.92853798577579,0.018350313188484,-0.0042723162,0.028085033884603,0.094131656596907,8.6000021244438,27.95,20,7.65,8.9
2026-03-03,8.8,8.8,8.8,8.8,-0.3,-3.30%,38,7593,34.70%,0.93893437048962,0.016713633925153,-0.0039362093,0.0251506678682,0.096380489270587,8.8000013559352,28.2,20,8.4,9.5
2026-03-02,9.05,9.1,9.05,9.1,0.3,+3.41%,2432,5206,35.26%,0.94098170327403,0.015804851603448,-0.0039346473,0.024810637954405,0.097084069931519,9.1000021815083,28.5,20,9.1,9.5
