Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,1.4,1.4,1.18,1.18,-0.2,-14.49%,57,1787,17.17%,0.48462370829382,0.11919690360051,-0.0047468496,0.077643943510135,0.061677573991625,1.1800049059676,27.14,28,0,1.5
2026-03-12,1.38,1.45,1.33,1.38,-0.41,-22.91%,20,1777,17.74%,0.52079773644597,0.1134932275965,-0.0049748628,0.078841251092598,0.067189003488477,1.380007518251,27.43,28,1.25,1.5
2026-03-11,1.59,1.79,1.59,1.79,0.12,+7.19%,3,1774,20.25%,0.56258171665601,0.096738940257681,-0.0055911272,0.079263276469653,0.072511904708605,1.790005749098,27.81,28,1.2,2.6
2026-03-10,1.5,1.67,1.5,1.67,0.14,+9.15%,20,1787,19.02%,0.55809625225845,0.10307715259221,-0.0053225294,0.07946471157947,0.07272050010092,1.6700077631568,27.76,28,1.2,1.87
2026-03-09,1.8,1.8,1.52,1.53,0,0.00%,87,1769,17.27%,0.5578393360688,0.11330537102308,-0.0049620528,0.079650240261774,0.073773460459514,1.5300041101227,27.75,28,1.33,1.6
2026-03-06,1.53,1.53,1.53,1.53,0,0.00%,0,1769,14.27%,0.58685052141137,0.13362930983283,-0.0043893778,0.079558105598232,0.08010949953956,1.4100054824497,27.95,28,1.17,1.65
2026-03-05,1.65,1.65,1.65,1.65,0,0.00%,9,1769,16.79%,0.58675870313825,0.11277963766957,-0.0048717873,0.080112247411518,0.0797781185079,1.6500062534076,28,28,1.42,1.91
2026-03-04,1.65,1.65,1.65,1.65,0,0.00%,0,1769,17.22%,0.58056143348433,0.11027070940442,-0.004934267,0.080441380527425,0.079029826016441,1.6600041990839,27.95,28,1.01,2.31
2026-03-03,1.5,1.5,1.5,1.5,0.88,+141.94%,1,1768,13.27%,0.62623899265556,0.13706327713621,-0.0042245135,0.078871133672572,0.08811865266678,1.5000045032678,28.2,28,1.5,2.25
2026-03-02,1.55,2.31,0.62,0.62,-1.95,-75.88%,4,1768,10.65%,0.69651528148496,0.15564061994342,-0.003772216,0.073730788201247,0.1005679310681,1.4999999999748,28.5,28,0.7,2.3
2026-02-27,2.56,2.57,2.56,2.57,0,0.00%,2,1766,14.59%,0.61566446524765,0.1249542917679,-0.0044489036,0.080061284347628,0.087139869070474,1.6000061885746,28.17,28,0.7,2.5
2026-02-26,2.57,2.57,2.57,2.57,0,0.00%,0,1766,17.88%,0.66587317661782,0.094539795123931,-0.0051059791,0.07835642995892,0.094476390265674,2.2750029202801,28.8,28,1.95,2.6
2026-02-25,2.85,2.85,2.85,2.85,0,0.00%,5,1761,24.22%,0.64685422211872,0.07086492252085,-0.0063202258,0.080479121190724,0.088994175417323,2.8499999999985,28.9,28,2.13,3.4
2026-02-24,2.85,2.85,2.85,2.85,0,0.00%,0,1761,22.14%,0.67283913361554,0.074460048574906,-0.0059034267,0.079028230586503,0.094588250736294,2.8550048555664,29.15,28,2.46,3.25
2026-02-23,2.85,2.85,2.85,2.85,0,0.00%,0,1761,22.97%,0.65239912701292,0.073873328247951,-0.0060555114,0.080462683914964,0.091270999532833,2.7749999999983,28.92,28,2.45,3.1
2026-02-20,2.85,2.85,2.85,2.85,0,0.00%,0,1761,16.92%,0.66695329920169,0.098754167113913,-0.0048761096,0.079072141350077,0.097266644314598,2.1899999999988,28.75,28,0.73,3.65
2026-02-19,2.85,2.85,2.85,2.85,0,0.00%,0,1761,25.58%,0.6181770709716,0.068733164416414,-0.0064801336,0.08270901842175,0.085976856406544,2.7650054848184,28.53,28,0.78,4.75
2026-02-18,2.85,2.85,2.85,2.85,0,0.00%,0,1761,24.26%,0.63898924733147,0.070365942670403,-0.0062324352,0.082162100538454,0.09044989990139,2.8249999999997,28.79,28,0.95,4.7
2026-02-17,2.82,2.82,2.82,2.82,0,0.00%,4,1765,24.43%,0.63579192610643,0.070009465748274,-0.0062513957,0.082488009505317,0.090220095765003,2.8200043043074,28.75,28,2.35,3.05
2026-02-13,2.82,2.82,2.82,2.82,0,0.00%,0,1765,11.70%,0.609167249554,0.15244633968454,-0.0037864579,0.082659719829729,0.093167924957038,1.3100060141791,27.99,28,0.32,2.3
2026-02-12,2.82,2.82,2.82,2.82,0,0.00%,0,1765,14.21%,0.6125020531494,0.12404555410274,-0.004248261,0.08319364489907,0.093291382711058,1.6000063397864,28.11,28,0.7,2.5
2026-02-11,2.82,2.82,2.82,2.82,0,0.00%,0,1765,21.37%,0.58346057217594,0.084231952246211,-0.0055232636,0.084590687787945,0.085185692522183,2.134999999998,27.99,28,1.77,2.5
2026-02-10,2.82,2.82,2.82,2.82,0,0.00%,0,1765,21.89%,0.56754512784183,0.083248611266369,-0.0055688364,0.084862023976803,0.08260110854037,2.0750054020283,27.8,28,1.4,2.75
2026-02-09,2.82,2.82,2.82,2.82,0,0.00%,0,1765,20.58%,0.51478655534382,0.091510250963396,-0.0051453594,0.08440492434046,0.074831290938659,1.6500051884418,27.21,28,0.9,2.4
2026-02-06,2.82,2.82,2.82,2.82,0,0.00%,0,1765,17.43%,0.523505604032,0.10683876493574,-0.0045895682,0.085163877347374,0.078539737953154,1.4700050282664,27.36,28,1,1.94
2026-02-05,2.82,2.82,2.82,2.82,0,0.00%,0,1765,22.56%,0.48344456682739,0.084090924144196,-0.0053189559,0.083742276987305,0.069802266917507,1.6150048566301,26.76,28,1.14,2.09
2026-02-04,2.82,2.82,2.82,2.82,0,0.00%,0,1765,46.19%,0.5581241337682,0.040181838169815,-0.0096998955,0.08394600209452,0.070194072589747,3.7499999999999,27.03,28,0,3.75
2026-02-03,1.93,1.93,1.93,1.93,-0.29,-13.06%,6,1762,23.60%,0.52230940611462,0.078725702555326,-0.0056532945,0.085405131492464,0.076328074983034,1.9300046065726,27.19,28,1.19,2.33
2026-02-02,2.25,2.25,2.22,2.22,0,0.00%,96,1666,24.85%,0.54972867688301,0.073248582554153,-0.0059683807,0.086092670366392,0.080642395470543,2.2200055839429,27.52,28,1.48,2.72
2026-01-30,2.22,2.22,2.22,2.22,0,0.00%,0,1666,23.65%,0.55058528337336,0.076551929242167,-0.0057393655,0.086508684155721,0.082072397418864,2.14000517962,27.54,28,1.6,2.68
2026-01-29,2.22,2.22,2.22,2.22,0,0.00%,0,1666,29.76%,0.56157344553185,0.060209221095038,-0.0068303781,0.086732326878698,0.081266564515481,2.7150060706772,27.6,28,1.38,4.05
2026-01-28,2.22,2.22,2.22,2.22,0,0.00%,0,1666,23.01%,0.58449491371009,0.075835827440604,-0.0056887095,0.087172413089226,0.089405672746201,2.3500061334632,27.98,28,0.3,4.4
2026-01-27,2.75,2.75,2.75,2.75,0,0.00%,1666,N/A,26.91%,0.58968964182668,0.064288247030504,-0.0063905078,0.087383379861774,0.088495361405405,2.7500059686554,28.07,28,1.48,2.85
"Downloaded from Barchart.com as of 03-14-2026 09:01pm CDT"
