Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,0,0,0,0,0,0.00%,0,690,0.00%,0,0,0,0,0,0,27.14,15,10.7,14.1
2026-03-12,0,0,0,0,0,0.00%,0,690,0.00%,0,0,0,0,0,0,27.43,15,10.85,13.75
2026-03-11,0,0,0,0,0,0.00%,0,690,32.85%,0.9974204340204,0.0012068869013696,-0.0016060006,0.0016068431778856,0.076598345448886,13.099999999999,27.81,15,11.05,15.15
2026-03-10,0,0,0,0,0,0.00%,0,690,39.91%,0.99029281960424,0.0032295232373983,-0.0019890981,0.0052301134779065,0.075827978579746,13.075000334662,27.76,15,11.05,15.1
2026-03-09,0,0,0,0,0,0.00%,0,690,0.00%,0,0,0,0,0,0,27.75,15,11,15.05
2026-03-06,0,0,0,0,0,0.00%,0,690,0.00%,0,0,0,0,0,0,27.95,15,11.05,15.3
2026-03-05,0,0,0,0,0,0.00%,0,690,0.00%,0,0,0,0,0,0,28,15,11.1,13.85
2026-03-04,13.42,13.45,13.42,13.45,0,0.00%,79,711,55.87%,0.96126996074904,0.0072961149703819,-0.003761854,0.017282449521182,0.072784177000784,13.450000961823,27.95,15,11.3,15.3
2026-03-03,13.45,13.45,13.45,13.45,0,0.00%,0,711,0.00%,0,0,0,0,0,0,28.2,15,11.5,15.45
2026-03-02,13.45,13.45,13.45,13.45,0,0.00%,0,711,0.00%,0,0,0,0,0,0,28.5,15,11.65,15.8
2026-02-27,13.45,13.45,13.45,13.45,0,0.00%,0,711,46.70%,0.97957176429785,0.0050342956064762,-0.0025835956,0.010332788569976,0.077724389808509,13.549999999994,28.17,15,11.55,15.55
2026-02-26,13.45,13.45,13.45,13.45,0,0.00%,0,711,43.98%,0.9864276573204,0.0036667368387131,-0.0022169565,0.0074827220493616,0.079693033927519,14.150000442601,28.8,15,12.15,16.15
2026-02-25,13.45,13.45,13.45,13.45,0,0.00%,0,711,51.31%,0.97444145274194,0.0053557508572862,-0.0029824378,0.012897280148539,0.077709575135998,14.324999999994,28.9,15,12.35,16.3
2026-02-24,14.65,14.65,14.65,14.65,0,0.00%,1,712,56.67%,0.96573132744027,0.0061179947793421,-0.0036230299,0.016633103594575,0.07619648168653,14.650001025735,29.15,15,13.5,15.25
2026-02-23,14.65,14.65,14.65,14.65,0,0.00%,0,712,46.88%,0.98186810924311,0.0043608122273531,-0.0024928982,0.0097035001334918,0.079937895961457,14.299999999997,28.92,15,13,15.6
2026-02-20,14.65,14.65,14.65,14.65,0,0.00%,0,712,0.00%,0,0,0,0,0,0,28.75,15,11.95,16.1
2026-02-19,14.65,14.65,14.65,14.65,0,0.00%,0,712,40.73%,0.98921908374447,0.0032190607391815,-0.0020110176,0.0061747205250457,0.082937923357029,13.874999999991,28.53,15,11.9,15.85
2026-02-18,14.65,14.65,14.65,14.65,0,0.00%,0,712,0.00%,0,0,0,0,0,0,28.79,15,12.1,14.75
2026-02-17,14.65,14.65,14.65,14.65,0,0.00%,0,712,0.00%,0,0,0,0,0,0,28.75,15,12.1,15.3
2026-02-13,14.65,14.65,14.65,14.65,0,0.00%,0,712,0.00%,0,0,0,0,0,0,27.99,15,11.4,14.7
2026-02-12,14.65,14.65,14.65,14.65,0,0.00%,0,712,0.00%,0,0,0,0,0,0,28.11,15,11.35,15.1
