Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,3.63,3.65,3.63,3.65,-0.15,-3.95%,2,14267,28.37%,0.72501627808569,0.060382508281852,-0.0065112127,0.06498856362804,0.082553502464311,3.6499999999592,27.14,25,3.25,4.1
2026-03-12,4.27,4.27,3.8,3.8,0,0.00%,28,14255,27.18%,0.74801501805492,0.059323730187617,-0.0061940078,0.063151783227688,0.087029259560945,3.7999999999776,27.43,25,3.25,4.7
2026-03-11,3.8,3.8,3.8,3.8,0,0.00%,0,14255,21.23%,0.81469390973227,0.062577176813319,-0.0048828121,0.053754332591446,0.098940117228352,3.7500050323004,27.81,25,3.3,4.2
2026-03-10,3.8,3.8,3.8,3.8,0,0.00%,0,14255,35.15%,0.73034440080712,0.046700599944487,-0.0076635085,0.066526844164918,0.082585724621254,4.5750039907317,27.76,25,3.25,5.9
2026-03-09,3.8,3.8,3.8,3.8,0,0.00%,0,14255,24.95%,0.78011551091267,0.058788114756256,-0.0056386715,0.059729310387318,0.09371831841638,3.9250033428657,27.75,25,3.6,4.25
2026-03-06,3.95,3.95,3.9,3.95,-0.05,-1.25%,750,13505,22.55%,0.8094573519013,0.059008925986578,-0.0050531113,0.055534985340399,0.09977088481663,3.9500028341626,27.95,25,3.8,4.65
2026-03-05,3.9,4,3.9,4,0,0.00%,1225,12280,22.54%,0.81181653712728,0.058184183548291,-0.005022072,0.05549178230072,0.10109924577204,4.0000027867942,28,25,3.9,4.4
2026-03-04,4.2,4.5,4,4,-0.35,-8.05%,691,11595,23.17%,0.80332579149325,0.058115170547345,-0.0051577602,0.0570518491484,0.10010491366037,4.0000035091562,27.95,25,3.75,5.2
2026-03-03,4.25,4.62,4.25,4.35,-0.1,-2.25%,2829,8766,25.66%,0.79786721647465,0.052727732033087,-0.0055731072,0.058666229495285,0.098957520381937,4.350004099013,28.2,25,3.95,4.4
2026-03-02,4.15,4.5,4.15,4.45,0.3,+7.23%,1698,7075,27.86%,0.79789670902355,0.047929688671155,-0.0059169909,0.059433933769055,0.098715751802292,4.7250047772764,28.5,25,4.5,4.95
2026-02-27,4.35,4.45,4.15,4.15,-0.85,-17.00%,3005,4224,22.27%,0.82226176622052,0.055773882002332,-0.0048881174,0.054553756149032,0.10522710896046,4.1500036008265,28.17,25,4.05,4.4
2026-02-26,5,5,5,5,-0.2,-3.85%,4,4228,28.02%,0.8096460740943,0.045031412369577,-0.0058292178,0.058493941410842,0.10238193381209,5.0000028499424,28.8,25,4.2,5.25
