Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2026-03-13,0.35,0.46,0.35,0.46,0.06,+15.00%,2030,10638,16.05%,0.25829909165749,0.10340842415527,-0.0033446404,0.062964008354277,0.033747441306342,0.45999999997899,27.14,30,0,0.6
2026-03-12,0.5,0.5,0.26,0.4,0,0.00%,28,10631,13.83%,0.25556830173403,0.11750330216765,-0.0029776045,0.063621637012829,0.034420540315561,0.39999999996638,27.43,30,0.27,0.48
2026-03-11,0.4,0.46,0.4,0.4,0,0.00%,3,10630,12.24%,0.27570130089133,0.13569839019136,-0.0028820876,0.06720827449256,0.03804199273108,0.40000333171577,27.81,30,0.01,0.82
2026-03-10,0.4,0.4,0.4,0.4,0,0.00%,0,10630,15.27%,0.31866337019932,0.11610390231357,-0.0036854729,0.071871300134996,0.043387934826677,0.60000396027398,27.76,30,0.45,0.75
2026-03-09,0.4,0.44,0.4,0.44,-0.01,-2.22%,18,10644,12.99%,0.28320445295443,0.12914415332297,-0.0030423135,0.068298267456695,0.039241663746892,0.44000517803563,27.75,30,0.32,0.5
2026-03-06,0.4,0.45,0.4,0.45,0.12,+36.36%,1717,9609,12.25%,0.29764281642659,0.1384887412563,-0.0029985813,0.070774522800704,0.04205477322507,0.45000494545881,27.95,30,0.4,0.5
2026-03-05,0.3,0.33,0.3,0.33,-0.06,-15.38%,9,9602,10.23%,0.26704860206641,0.15622213847091,-0.0024617164,0.067638845241953,0.038592925261938,0.33000631343627,28,30,0.02,0.72
2026-03-04,0.31,0.5,0.26,0.39,0.01,+2.63%,28,9587,11.27%,0.28229441403776,0.14568394641484,-0.0027196059,0.06956823154508,0.04070123249062,0.39000653936868,27.95,30,0.01,0.5
2026-03-03,0.4,0.45,0.38,0.38,-0.12,-24.00%,107,9582,10.07%,0.29764280753522,0.16526866367846,-0.0026152717,0.072136233427939,0.043708501760126,0.38000454851422,28.2,30,0.2,0.5
2026-03-02,0.52,0.65,0.42,0.5,0.05,+11.11%,1214,8541,10.33%,0.3539028107015,0.17072189238031,-0.0029708657,0.07845139035891,0.052546662956754,0.49999999999718,28.5,30,0.3,0.67
